[19:53:46] [main/INFO]: Environment: authHost='https://authserver.mojang.com', accountsHost='https://api.mojang.com', sessionHost='https://sessionserver.mojang.com', servicesHost='https://api.minecraftservices.com', name='PROD'
[19:53:47] [main/WARN]: Ambiguity between arguments [teleport, destination] and [teleport, targets] with inputs: [Player, 0123, @e, dd12be42-52a9-4a91-a8a1-11c01849e498]
[19:53:47] [main/WARN]: Ambiguity between arguments [teleport, location] and [teleport, destination] with inputs: [0.1 -0.5 .9, 0 0 0]
[19:53:47] [main/WARN]: Ambiguity between arguments [teleport, location] and [teleport, targets] with inputs: [0.1 -0.5 .9, 0 0 0]
[19:53:47] [main/WARN]: Ambiguity between arguments [teleport, targets] and [teleport, destination] with inputs: [Player, 0123, dd12be42-52a9-4a91-a8a1-11c01849e498]
[19:53:47] [main/WARN]: Ambiguity between arguments [teleport, targets, location] and [teleport, targets, destination] with inputs: [0.1 -0.5 .9, 0 0 0]
[19:53:47] [main/INFO]: Reloading ResourceManager: Default
[19:53:50] [Worker-Main-2/INFO]: Loaded 7 recipes
[19:53:51] [Worker-Main-2/INFO]: Loaded 927 advancements
[19:53:59] [Server thread/INFO]: Starting minecraft server version 1.16.5
[19:53:59] [Server thread/INFO]: Loading properties
[19:53:59] [Server thread/INFO]: Default game type: SURVIVAL
[19:53:59] [Server thread/INFO]: Generating keypair
[19:53:59] [Server thread/INFO]: Starting Minecraft server on *:25565
[19:54:00] [Server thread/INFO]: Using epoll channel type
[19:54:00] [Server thread/WARN]: **** SERVER IS RUNNING IN OFFLINE/INSECURE MODE!
[19:54:00] [Server thread/WARN]: The server will make no attempt to authenticate usernames. Beware.
[19:54:00] [Server thread/WARN]: While this makes the game possible to play without internet access, it also opens up the ability for hackers to connect with any username they choose.
[19:54:00] [Server thread/WARN]: To change this, set "online-mode" to "true" in the server.properties file.
[19:54:00] [Server thread/INFO]: Preparing level "Minecrift"
[19:54:11] [Server thread/INFO]: Preparing start region for dimension minecraft:overworld
[19:54:11] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[19:54:12] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[19:54:12] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[19:54:13] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[19:54:13] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[19:54:14] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[19:54:14] [Worker-Main-2/INFO]: Preparing spawn area: 1%
[19:54:15] [Worker-Main-2/INFO]: Preparing spawn area: 1%
[19:54:15] [Worker-Main-2/INFO]: Preparing spawn area: 1%
[19:54:16] [Worker-Main-2/INFO]: Preparing spawn area: 2%
[19:54:16] [Worker-Main-2/INFO]: Preparing spawn area: 2%
[19:54:17] [Worker-Main-2/INFO]: Preparing spawn area: 3%
[19:54:17] [Worker-Main-2/INFO]: Preparing spawn area: 3%
[19:54:18] [Worker-Main-2/INFO]: Preparing spawn area: 3%
[19:54:18] [Worker-Main-2/INFO]: Preparing spawn area: 3%
[19:54:19] [Worker-Main-2/INFO]: Preparing spawn area: 3%
[19:54:19] [Worker-Main-2/INFO]: Preparing spawn area: 3%
[19:54:20] [Worker-Main-2/INFO]: Preparing spawn area: 3%
[19:54:20] [Worker-Main-2/INFO]: Preparing spawn area: 4%
[19:54:21] [Worker-Main-2/INFO]: Preparing spawn area: 4%
[19:54:21] [Worker-Main-2/INFO]: Preparing spawn area: 5%
[19:54:22] [Worker-Main-2/INFO]: Preparing spawn area: 6%
[19:54:22] [Worker-Main-2/INFO]: Preparing spawn area: 7%
[19:54:23] [Worker-Main-2/INFO]: Preparing spawn area: 8%
[19:54:23] [Worker-Main-2/INFO]: Preparing spawn area: 9%
[19:54:24] [Worker-Main-2/INFO]: Preparing spawn area: 9%
[19:54:24] [Worker-Main-2/INFO]: Preparing spawn area: 9%
[19:54:25] [Worker-Main-2/INFO]: Preparing spawn area: 10%
[19:54:25] [Worker-Main-2/INFO]: Preparing spawn area: 10%
[19:54:26] [Worker-Main-2/INFO]: Preparing spawn area: 10%
[19:54:26] [Worker-Main-2/INFO]: Preparing spawn area: 11%
[19:54:27] [Worker-Main-2/INFO]: Preparing spawn area: 12%
[19:54:27] [Worker-Main-2/INFO]: Preparing spawn area: 13%
[19:54:28] [Worker-Main-2/INFO]: Preparing spawn area: 13%
[19:54:28] [Worker-Main-2/INFO]: Preparing spawn area: 14%
[19:54:29] [Worker-Main-2/INFO]: Preparing spawn area: 15%
[19:54:29] [Worker-Main-2/INFO]: Preparing spawn area: 15%
[19:54:30] [Worker-Main-2/INFO]: Preparing spawn area: 16%
[19:54:30] [Worker-Main-2/INFO]: Preparing spawn area: 17%
[19:54:31] [Worker-Main-2/INFO]: Preparing spawn area: 17%
[19:54:31] [Worker-Main-2/INFO]: Preparing spawn area: 18%
[19:54:32] [Worker-Main-2/INFO]: Preparing spawn area: 18%
[19:54:32] [Worker-Main-2/INFO]: Preparing spawn area: 19%
[19:54:33] [Worker-Main-2/INFO]: Preparing spawn area: 20%
[19:54:33] [Worker-Main-2/INFO]: Preparing spawn area: 20%
[19:54:34] [Worker-Main-2/INFO]: Preparing spawn area: 21%
[19:54:34] [Worker-Main-2/INFO]: Preparing spawn area: 21%
[19:54:35] [Worker-Main-2/INFO]: Preparing spawn area: 22%
[19:54:35] [Worker-Main-2/INFO]: Preparing spawn area: 23%
[19:54:36] [Worker-Main-2/INFO]: Preparing spawn area: 24%
[19:54:36] [Worker-Main-2/INFO]: Preparing spawn area: 24%
[19:54:37] [Worker-Main-2/INFO]: Preparing spawn area: 26%
[19:54:37] [Worker-Main-2/INFO]: Preparing spawn area: 26%
[19:54:38] [Worker-Main-2/INFO]: Preparing spawn area: 27%
[19:54:38] [Worker-Main-2/INFO]: Preparing spawn area: 27%
[19:54:39] [Worker-Main-2/INFO]: Preparing spawn area: 27%
[19:54:39] [Worker-Main-2/INFO]: Preparing spawn area: 28%
[19:54:40] [Worker-Main-2/INFO]: Preparing spawn area: 28%
[19:54:40] [Worker-Main-2/INFO]: Preparing spawn area: 30%
[19:54:41] [Worker-Main-2/INFO]: Preparing spawn area: 30%
[19:54:41] [Worker-Main-2/INFO]: Preparing spawn area: 31%
[19:54:42] [Worker-Main-2/INFO]: Preparing spawn area: 32%
[19:54:42] [Worker-Main-2/INFO]: Preparing spawn area: 33%
[19:54:43] [Worker-Main-2/INFO]: Preparing spawn area: 34%
[19:54:43] [Worker-Main-2/INFO]: Preparing spawn area: 34%
[19:54:44] [Worker-Main-2/INFO]: Preparing spawn area: 34%
[19:54:44] [Worker-Main-2/INFO]: Preparing spawn area: 34%
[19:54:45] [Worker-Main-2/INFO]: Preparing spawn area: 34%
[19:54:45] [Worker-Main-2/INFO]: Preparing spawn area: 34%
[19:54:46] [Worker-Main-2/INFO]: Preparing spawn area: 35%
[19:54:46] [Worker-Main-2/INFO]: Preparing spawn area: 36%
[19:54:47] [Worker-Main-2/INFO]: Preparing spawn area: 36%
[19:54:47] [Worker-Main-2/INFO]: Preparing spawn area: 37%
[19:54:48] [Worker-Main-2/INFO]: Preparing spawn area: 38%
[19:54:48] [Worker-Main-2/INFO]: Preparing spawn area: 40%
[19:54:49] [Worker-Main-2/INFO]: Preparing spawn area: 41%
[19:54:49] [Worker-Main-2/INFO]: Preparing spawn area: 42%
[19:54:50] [Worker-Main-2/INFO]: Preparing spawn area: 42%
[19:54:50] [Worker-Main-2/INFO]: Preparing spawn area: 42%
[19:54:51] [Worker-Main-2/INFO]: Preparing spawn area: 42%
[19:54:51] [Worker-Main-2/INFO]: Preparing spawn area: 43%
[19:54:52] [Worker-Main-2/INFO]: Preparing spawn area: 43%
[19:54:52] [Worker-Main-2/INFO]: Preparing spawn area: 44%
[19:54:53] [Worker-Main-2/INFO]: Preparing spawn area: 45%
[19:54:53] [Worker-Main-2/INFO]: Preparing spawn area: 47%
[19:54:54] [Worker-Main-2/INFO]: Preparing spawn area: 48%
[19:54:54] [Worker-Main-2/INFO]: Preparing spawn area: 49%
[19:54:55] [Worker-Main-2/INFO]: Preparing spawn area: 50%
[19:54:55] [Worker-Main-2/INFO]: Preparing spawn area: 50%
[19:54:56] [Worker-Main-2/INFO]: Preparing spawn area: 51%
[19:54:56] [Worker-Main-2/INFO]: Preparing spawn area: 51%
[19:54:57] [Worker-Main-2/INFO]: Preparing spawn area: 52%
[19:54:57] [Worker-Main-2/INFO]: Preparing spawn area: 52%
[19:54:58] [Worker-Main-2/INFO]: Preparing spawn area: 53%
[19:54:58] [Worker-Main-2/INFO]: Preparing spawn area: 54%
[19:54:59] [Worker-Main-2/INFO]: Preparing spawn area: 55%
[19:54:59] [Worker-Main-2/INFO]: Preparing spawn area: 56%
[19:55:00] [Worker-Main-2/INFO]: Preparing spawn area: 57%
[19:55:00] [Worker-Main-2/INFO]: Preparing spawn area: 58%
[19:55:01] [Worker-Main-2/INFO]: Preparing spawn area: 59%
[19:55:01] [Worker-Main-2/INFO]: Preparing spawn area: 59%
[19:55:02] [Worker-Main-2/INFO]: Preparing spawn area: 59%
[19:55:02] [Worker-Main-2/INFO]: Preparing spawn area: 60%
[19:55:03] [Worker-Main-2/INFO]: Preparing spawn area: 61%
[19:55:03] [Worker-Main-2/INFO]: Preparing spawn area: 61%
[19:55:04] [Worker-Main-2/INFO]: Preparing spawn area: 62%
[19:55:04] [Worker-Main-2/INFO]: Preparing spawn area: 64%
[19:55:05] [Worker-Main-2/INFO]: Preparing spawn area: 65%
[19:55:05] [Worker-Main-2/INFO]: Preparing spawn area: 66%
[19:55:06] [Worker-Main-2/INFO]: Preparing spawn area: 67%
[19:55:06] [Worker-Main-2/INFO]: Preparing spawn area: 68%
[19:55:07] [Worker-Main-2/INFO]: Preparing spawn area: 68%
[19:55:07] [Worker-Main-2/INFO]: Preparing spawn area: 69%
[19:55:08] [Worker-Main-2/INFO]: Preparing spawn area: 69%
[19:55:08] [Worker-Main-2/INFO]: Preparing spawn area: 70%
[19:55:09] [Worker-Main-2/INFO]: Preparing spawn area: 70%
[19:55:09] [Worker-Main-2/INFO]: Preparing spawn area: 71%
[19:55:10] [Worker-Main-2/INFO]: Preparing spawn area: 72%
[19:55:10] [Worker-Main-2/INFO]: Preparing spawn area: 73%
[19:55:11] [Worker-Main-2/INFO]: Preparing spawn area: 74%
[19:55:11] [Worker-Main-2/INFO]: Preparing spawn area: 75%
[19:55:12] [Worker-Main-2/INFO]: Preparing spawn area: 76%
[19:55:12] [Worker-Main-2/INFO]: Preparing spawn area: 77%
[19:55:13] [Worker-Main-2/INFO]: Preparing spawn area: 78%
[19:55:13] [Worker-Main-2/INFO]: Preparing spawn area: 79%
[19:55:14] [Worker-Main-2/INFO]: Preparing spawn area: 79%
[19:55:14] [Worker-Main-2/INFO]: Preparing spawn area: 80%
[19:55:15] [Worker-Main-2/INFO]: Preparing spawn area: 80%
[19:55:15] [Worker-Main-2/INFO]: Preparing spawn area: 81%
[19:55:16] [Worker-Main-2/INFO]: Preparing spawn area: 82%
[19:55:16] [Worker-Main-2/INFO]: Preparing spawn area: 83%
[19:55:17] [Worker-Main-2/INFO]: Preparing spawn area: 83%
[19:55:17] [Worker-Main-2/INFO]: Preparing spawn area: 84%
[19:55:18] [Worker-Main-2/INFO]: Preparing spawn area: 86%
[19:55:18] [Worker-Main-2/INFO]: Preparing spawn area: 87%
[19:55:19] [Worker-Main-2/INFO]: Preparing spawn area: 88%
[19:55:19] [Worker-Main-2/INFO]: Preparing spawn area: 90%
[19:55:20] [Worker-Main-2/INFO]: Preparing spawn area: 90%
[19:55:20] [Worker-Main-2/INFO]: Preparing spawn area: 90%
[19:55:21] [Worker-Main-2/INFO]: Preparing spawn area: 90%
[19:55:21] [Worker-Main-2/INFO]: Preparing spawn area: 91%
[19:55:22] [Worker-Main-2/INFO]: Preparing spawn area: 92%
[19:55:22] [Worker-Main-2/INFO]: Preparing spawn area: 94%
[19:55:23] [Worker-Main-2/INFO]: Preparing spawn area: 96%
[19:55:23] [Worker-Main-2/INFO]: Preparing spawn area: 98%
[19:55:24] [Worker-Main-2/INFO]: Preparing spawn area: 99%
[19:55:24] [Server thread/INFO]: Time elapsed: 72599 ms
[19:55:24] [Server thread/INFO]: Done (83.751s)! For help, type "help"
[19:55:26] [Server thread/WARN]: Can't keep up! Is the server overloaded? Running 2031ms or 40 ticks behind
[20:02:49] [Server thread/INFO]: Moth[/192.168.0.7:51266] logged in with entity id 282 at (-7.5, 67.0, -94.5)
[20:02:49] [Server thread/INFO]: Moth joined the game
[20:02:53] [Server thread/WARN]: Can't keep up! Is the server overloaded? Running 2016ms or 40 ticks behind
[20:04:59] [Server thread/INFO]: smolpp[/192.168.0.4:54655] logged in with entity id 796 at (-6.5, 66.0, -101.5)
[20:04:59] [Server thread/INFO]: smolpp joined the game
[20:06:08] [Server thread/WARN]: Can't keep up! Is the server overloaded? Running 2028ms or 40 ticks behind
[20:10:03] [Server thread/INFO]: Moth has made the advancement [Stone Age]
[20:10:10] [Server thread/INFO]: smolpp has made the advancement [Monster Hunter]
[20:10:39] [Server thread/INFO]: smolpp was slain by Zombie
